                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.82658,                 0.4273,                0.90887,                0.88829,                0.83162,                0.87355,                0.58733,                 1.0635,                0.53188,                 1.0951,             0.00050236,             0.00050236,             0.00050236
                    133,                0.80846,                0.42399,                    0.9,                0.90085,                0.82814,                0.87582,                0.58802,                 1.0554,                0.53204,                 1.0824,             0.00049529,             0.00049529,             0.00049529
                    134,                0.79899,                 0.4215,                0.89591,                 0.9205,                0.82438,                0.87402,                0.58804,                 1.0545,                0.51828,                 1.1015,             0.00048822,             0.00048822,             0.00048822
                    135,                0.82086,                0.42957,                0.89986,                0.92405,                 0.8086,                0.88258,                0.58546,                  1.079,                0.52541,                  1.109,             0.00048114,             0.00048114,             0.00048114
                    136,                0.82076,                0.43576,                0.89677,                0.91781,                0.84759,                0.89323,                0.59725,                 1.0613,                 0.5155,                 1.0985,             0.00047407,             0.00047407,             0.00047407
                    137,                0.83086,                0.43709,                0.90149,                0.90802,                0.84602,                0.88453,                0.58124,                 1.0799,                0.51799,                 1.1036,               0.000467,               0.000467,               0.000467
                    138,                0.81337,                0.42409,                0.89973,                0.90398,                0.84545,                0.88557,                0.59339,                 1.0759,                0.51838,                 1.0989,             0.00045992,             0.00045992,             0.00045992
                    139,                0.80802,                  0.417,                0.90033,                 0.9093,                0.82633,                0.88455,                0.59524,                 1.0605,                0.51956,                 1.0963,             0.00045285,             0.00045285,             0.00045285
                    140,                0.79225,                0.42188,                0.90011,                0.87224,                0.86288,                 0.8903,                0.59117,                  1.073,                0.51509,                 1.1057,             0.00044578,             0.00044578,             0.00044578
                    141,                0.81403,                0.42786,                 0.8989,                0.91662,                0.83324,                0.89374,                0.59547,                 1.0685,                0.52073,                  1.109,              0.0004387,              0.0004387,              0.0004387
                    142,                0.79749,                0.42024,                0.89663,                0.91771,                  0.833,                0.88762,                0.59183,                 1.0535,                0.50581,                 1.0878,             0.00043163,             0.00043163,             0.00043163
                    143,                0.78189,                0.41445,                0.89581,                0.92001,                0.83559,                0.89051,                0.59606,                 1.0613,                0.51707,                 1.0941,             0.00042456,             0.00042456,             0.00042456
